# Feasibility test for 2500 iterations
#
# S/N	Njet	mean p-value
0.0208114	165.585	0.38739
0.0208114	931.155	0.587257
0.0208114	5236.27	0.393498
0.0208114	29445.7	0.02287
0.0658114	165.585	0.317417
0.0658114	931.155	0.316393
0.0658114	5236.27	0.0978354
0.0658114	29445.7	6.01915e-07
0.208114	165.585	2.6107e-13
0.208114	931.155	0.428459
0.208114	5236.27	0.00116505
0.208114	29445.7	1.05277e-38
0.658114	165.585	1.03678e-97
0.658114	931.155	0.00265718
0.658114	5236.27	9.19643e-13
0.658114	29445.7	1.58364e-135
2.08114	165.585	0
2.08114	931.155	1.09957e-27
2.08114	5236.27	2.78804e-39
2.08114	29445.7	0
6.58114	165.585	0
6.58114	931.155	4.71282e-106
6.58114	5236.27	4.39122e-87
6.58114	29445.7	0
2.08114	165.585	5.55648e-261
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
