# Feasibility test for 2500 iterations
#
# S/N	Njet	mean p-value
2.08114	165.585	0.268637
2.08114	931.155	0.938801
2.08114	5236.27	0.999999
2.08114	29445.7	1
6.58114	165.585	0.151368
6.58114	931.155	0.988399
6.58114	5236.27	1
6.58114	29445.7	1
0.208114	165.585	0.451819
0.208114	931.155	0.613492
0.208114	5236.27	0.915964
0.208114	29445.7	0.999982
0.658114	165.585	0.381993
0.658114	931.155	0.78219
0.658114	5236.27	0.998291
0.658114	29445.7	1
0.0208114	165.585	0.495794
0.0208114	931.155	0.497575
0.0208114	5236.27	0.568853
0.0208114	29445.7	0.806773
0.0658114	165.585	0.483388
0.0658114	931.155	0.524956
0.0658114	5236.27	0.710297
0.0658114	29445.7	0.984723
0.00658114	165.585	0.478846
0.00658114	931.155	0.484526
0.00658114	5236.27	0.50579
0.00658114	29445.7	0.618678
