# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.00208114	165.585	-1
0.00208114	931.155	-1
0.00208114	5236.27	-1
0.00208114	29445.7	-1
0.00658114	165.585	-1
0.00658114	931.155	-1
0.00658114	5236.27	-1
0.00658114	29445.7	-1
0.0208114	165.585	0.504019
0.0208114	931.155	0.468962
0.0208114	5236.27	0.338064
0.0208114	29445.7	0.0137037
0.0658114	165.585	0.297411
0.0658114	931.155	0.406079
0.0658114	5236.27	0.0938621
0.0658114	29445.7	9.53723e-09
0.208114	165.585	0.00293719
0.208114	931.155	0.224522
0.208114	5236.27	0.000971209
0.208114	29445.7	1.10131e-46
0.658114	165.585	7.59335e-37
0.658114	931.155	0.00586946
0.658114	5236.27	5.68343e-15
0.658114	29445.7	2.8854e-167
2.08114	165.585	2.35214e-174
2.08114	931.155	2.93213e-12
2.08114	5236.27	1.67138e-47
2.08114	29445.7	0
6.58114	165.585	0
6.58114	931.155	4.13966e-54
6.58114	5236.27	5.52707e-112
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
2.08114	29445.7	0
6.58114	165.585	0
6.58114	29445.7	0
