# Feasibility test for 500 iterations
#
# S/N	Njet	mean p-value
0.0208114	165.585	0.499409
0.0208114	931.155	0.510096
0.0208114	5236.27	0.555162
0.0208114	29445.7	0.806202
0.0658114	165.585	0.502594
0.0658114	931.155	0.514649
0.0658114	5236.27	0.707542
0.0658114	29445.7	0.987817
0.208114	165.585	0.44995
0.208114	931.155	0.606329
0.208114	5236.27	0.915227
0.208114	29445.7	0.999964
0.658114	165.585	0.389144
0.658114	931.155	0.779652
0.658114	5236.27	0.99804
0.658114	29445.7	1
2.08114	165.585	0.276797
2.08114	931.155	0.926038
2.08114	5236.27	0.999999
2.08114	29445.7	1
6.58114	165.585	0.164358
6.58114	931.155	0.987058
6.58114	5236.27	1
6.58114	29445.7	1
